Career;Characteristics;Skills;Talents;Status;,,,,,,,,,,,,,,,,
Witch Hunter 3;Fel;Endurance, Leadership, Lore (Law), Lore (Local) ;Fearless (Witches), Nose for Trouble, Relentless, Strong-minded;Silver 5;,,,,,,,,,,
Witch Hunter 4;Int;Lore (Chaos), Lore (Politics);Frightening, Iron Will, Magical Sense, Pure Soul ;Gold 1;,,,,,,,,,,,,
Boatman 1;S, T, Agi;Consume Alcohol, Dodge, Endurance, Gossip, Melee (Basic), Row, Sail, Swim;Dirty Fighting, Fisherman, Strong Back, Strong Swimmer;Silver 1;,,,,
Boatman 2;I;Athletics, Entertain (Storytelling), Haggle, Intuition, Lore (Riverways), Perception;Etiquette (Guilder), Seasoned Traveller, Very Strong, Waterman ;Silver 2;,,,,,,,,
Boatman 3;Dex;Climb, Entertain (Singing), Heal, Trade (Boatbuilding);Dealmaker, Embezzle, Nose for Trouble, Strike Mighty Blow ;Silver 3;,,,,,,,,,,
Boatman 4;Int;Leadership, Navigation;Menacing, Orientation, Pilot, Public Speaker ;Silver 5;,,,,,,,,,,,,
Huffer 1;Ws, T, I;Consume Alcohol, Gossip, Intuition, Lore, (Local), Lore (Riverways), Perception, Row, Swim ;Fisherman, Night Vision, Orientation, Waterman ;Brass 4;,,,
Huffer 2;Wp;Charm, Cool, Entertain (Storytelling), Language (Any), Melee (Basic), Navigation ;Dealmaker, Etiquette (Guilder), Nose for Trouble, River Guide;Silver 1;,,,,,,,,
Huffer 3;Int;Haggle, Intimidate, Lore (Local), Lore (Wrecks);Acute Sense (Sight), Pilot, Sea Legs, Very Strong;Silver 3;,,,,,,,,,,
Huffer 4;Fel;Leadership, Sail;Sixth Sense, Sharp, Strong Swimmer, Tenacious ;Silver 5;,,,,,,,,,,,,
River Warden 1;Bs, S, Fel;Athletics, Dodge, Endurance, Melee (Basic), Perception, Row, Sail, Swim;Strong Swimmer, Strong Back, Very Strong, Waterman;Silver 1;,,,,
River Warden 2;Ws;Bribery, Charm, Intimidate, Gossip, Lore (Riverways), Ranged (Blackpowder);Criminal, Gunner, Fisherman, Seasoned Traveller ;Silver 2;,,,,,,,,
River Warden 3;I;Climb, Cool, Intuition, Leadership;Fearless (Wreckers), Hatred (Any), Pilot, Sea Legs ;Silver 4;,,,,,,,,,,
River Warden 4;Int;Lore (Law), Navigation;Commanding Presence, Kingpin, Menacing, Orientation;Gold 1;,,,,,,,,,,,,
Riverwoman 1;T, Agi, Dex;Athletics, Consume Alcohol, Dodge, Endurance, Gossip, Outdoor Survival, Row, Swim;Fisherman, Gregarious, Strider (Marshes), Strong Swimmer;Brass 2;,,,,
Riverwoman 2;Ws;Gamble, Lore (Local), Lore (Riverways), Ranged (Entangling), Ranged (Throwing), Set Trap;Craftsman (Boatbuilder), Rover, Strong Back, Waterman;Brass 3;,,,,,,,,
Riverwoman 3;I;Charm, Intuition, Melee (Polearm), Perception ;Savant (Riverways), Stout-hearted, Tenacious, Very Strong;Brass 5;,,,,,,,,,,
Riverwoman 4;Fel;Entertain (Storytelling), Lore (Folklore);Master Craftsman (Boatbuilder), Public Speaker, Sharp, Strong-minded ;Silver 2;,,,,,,,,,,,,
Seaman 1;Agi, Dex, Fel;Climb, Consume Alcohol, Gamble, Gossip, Row, Melee (Brawling), Sail, Swim;Fisherman, Strider (Coastal), Strong Back, Strong Swimmer;Silver 1;,,,,
Seaman 2;Ws;Athletics, Dodge, Endurance, Entertain (Singing), Language (any), Melee (Basic);Catfall, Sea Legs, Seasoned Traveller, Strong Legs;Silver 3;,,,,,,,,
Seaman 3;I;Cool, Leadership, Perception, Trade (Carpenter) ;Old Salt, Strike Mighty Blow, Tenacious, Very Strong;Silver 5;,,,,,,,,,,
Seaman 4;Int;Charm, Navigation;Orientation, Pilot, Public Speaking, Savvy ;Gold 2;,,,,,,,,,,,,
Smuggler 1;Agi, Dex, Wp;Athletics, Bribery, Cool, Consume Alcohol, Row, Sail, Stealth (Rural or Urban), Swim;Criminal, Fisherman, Strider (Marshes), Strong Back;Brass 2;,,,,
Smuggler 2;I;Haggle, Charm, Gossip, Lore (Local), Melee (Basic), Perception, Secret Signs (Smuggler) ;Dealmaker, Etiquette (Criminals), Waterman, Very Strong;Brass 3;,,,,,,,
Smuggler 3;Int;Evaluate, Intimidate, Intuition, Lore (Riverways);Briber, Fearless (Riverwardens), Pilot, Strong Swimmer;Brass 5;,,,,,,,,,,
Smuggler 4;Fel;Language (Any), Leadership;Kingpin, Savvy, Strider (Coastal), Sea Legs ;Silver 2;,,,,,,,,,,,,
Stevedore 1;Ws, T, I;Athletics, Climb, Consume Alcohol, Dodge, Endurance, Gossip, Melee (Basic), Swim;Dirty Fighting, Strong Back, Sturdy, Very Strong;Brass 3;,,,,
Stevedore 2;S;Bribery, Entertain (Storytelling), Gamble, Intimidate, Perception, Stealth (Urban);Criminal, Etiquette (Guilders), Strong Legs, Tenacious;Silver 1;,,,,,,,,
Stevedore 3;Wp;Cool, Evaluate, Intuition, Leadership;Dealmaker, Embezzle, Etiquette (Criminals), Public Speaking;Silver 3;,,,,,,,,,,
Stevedore 4;Int;Charm, Lore (Taxes);Kingpin, Menacing, Numismatics, Read/Write ;Silver 5;,,,,,,,,,,,,
Wrecker 1;Ws, S, I;Climb, Consume Alcohol, Dodge, Endurance, Row, Melee (Basic), Outdoor Survival, Swim;Break and Enter, Criminal, Fisherman, Strong Back;Brass 2;,,,,
Wrecker 2;Wp;Bribery, Cool, Intuition, Navigation, Perception, Set Traps;Flee!, Rover, Strong Swimmer, Trapper ;Brass 3;,,,,,,,,
Wrecker 3;Bs;Gossip, Intimidate, Ranged (Crossbow), Stealth (Rural) ;Dirty Fighting, Etiquette (Criminals), Menacing, Waterman;Brass 5;,,,,,,,,,,
Wrecker 4;Fel;Leadership, Lore (Riverways);Furious Assault, In-fighter, Pilot, Warrior Born ;Silver 2;,,,,,,,,,,,,
Bawd 1;Agi, Dex, Fel;Bribery, Charm, Consume Alcohol, Entertain (Any), Gamble, Gossip, Haggle, Intimidate;Attractive, Alley Cat, Blather, Gregarious ;Brass 1;,,,,
Bawd 2;I;Dodge, Endurance, Intuition, Lore (Local), Melee (Basic), Perception;Ambidextrous, Carouser, Criminal, Resistant (Disease);Brass 3;,,,,,,,,
Bawd 3;Wp;Cool, Evaluate, Language (any), Lore (Law) ;Dealmaker, Embezzle, Etiquette (Any), Suave ;Silver 1;,,,,,,,,,,
Bawd 4;Int;Leadership, Lore (Heraldry);Briber, Kingpin, Numismatics, Savvy;Silver 3;,,,,,,,,,,,,
Charlatan 1;I, Dex, Fel;Bribery, Consume Alcohol, Charm, Entertain (Storytelling), Gamble, Gossip, Haggle, Sleight of Hand ;Cardsharp, Diceman, Etiquette (Any), Luck ;Brass 3;,,,,
Charlatan 2;Wp;Cool, Dodge, Entertain (Acting), Evaluate, Intuition, Perception;Blather, Criminal, Fast Hands, Secret Identity ;Brass 5;,,,,,,,,
Charlatan 3;Agi;Language (Thief ), Lore (Heraldry), Pick Lock, Secret Signs (Thief );Attractive, Cat-tongued, Dealmaker, Read/Write ;Silver 2;,,,,,,,,,,
Charlatan 4;Int;Lore (Genealogy), Research;Gregarious, Master of Disguise, Nose for Trouble, Suave;Silver 4;,,,,,,,,,,,,
Fence 1;I, Agi, Fel;Charm, Consume Alcohol, Dodge, Evaluate, Gamble, Gossip, Haggle, Melee (Basic);Alley Cat, Cardsharp, Dealmaker, Gregarious ;Silver 1;,,,,
Fence 2;Dex;Cool, Intimidate, Intuition, Perception, Secret Signs (Thief ), Trade (Engraver);Criminal, Etiquette (Criminals), Numismatics, Savvy;Silver 2;,,,,,,,,
Fence 3;Int;Bribery, Entertain (Storytelling), Lore (Art), Lore (Local);Kingpin, Strike to Stun, Suave, Super Numerate;Silver 3;,,,,,,,,,,
Fence 4;Wp;Lore (Heraldry), Research;Dirty Fighting, Iron Will, Menacing, Briber ;Silver 4;,,,,,,,,,,,,
Grave Robber 1;S, I, Wp;Climb, Cool, Dodge, Endurance, Gossip, Intuition, Perception, Stealth (Any);Alley Cat, Criminal, Flee!, Strong Back ;Brass 2;,,,,
Grave Robber 2;Ws;Bribery, Endurance, Evaluate, Haggle, Lore (Medicine), Melee (Basic);Break and Enter, Night Vision, Resistance (Disease), Very Strong;Brass 3;,,,,,,,,
Grave Robber 3;Dex;Drive, Lore (History), Pick Lock, Set Trap,;Read/Write, Strike Mighty Blow, Tenacious, Tunnel Rat;Silver 1;,,,,,,,,,
Grave Robber 4;Int;Navigation, Trade (Engineer);Fearless (Undead), Sixth Sense, Strong- minded, Trapper;Silver 5;,,,,,,,,,,,,
Outlaw 1;Ws, S, T;Athletics, Consume Alcohol, Cool, Endurance, Gamble, Intimidate, Melee (Basic), Outdoor Survival ;Combat Aware, Criminal, Rover, Flee! ;Brass 1;,,,,
Outlaw 2;Bs;Dodge, Heal, Lore (Local), Perception, Ranged (Bow), Stealth (Rural);Dirty Fighting, Marksman, Strike to Stun, Trapper ;Brass 2;,,,,,,,,
Outlaw 3;I;Gossip, Intuition, Leadership, Ride (Horse) ;Rapid Reload, Roughrider, Menacing, Very Resilient;Brass 4;,,,,,,,,,,
Outlaw 4;Fel;Charm, Lore (Empire);Deadeye Shot, Fearless (Road Wardens), Iron Will, Robust;Silver 2;,,,,,,,,,,,,
Racketeer 1;Ws, S, T;Consume Alcohol, Cool, Dodge, Endurance, Intimidate, Lore (Local), Melee (Brawling), Stealth (Urban) ;Criminal, Etiquette (Criminals), Menacing, Strike Mighty Blow;Brass 3;,,,,
Racketeer 2;Fel;Bribery, Charm, Evaluate, Gossip, Language (Estalian or Tilean), Melee (Basic);Embezzle, Street Fighting, Strike to Stun, Warrior Born;Brass 5;,,,,,,,,
Racketeer 3;Wp;Intuition, Leadership, Perception, Ranged (Crossbow) ;Fearless (Watchmen), Iron Will, Resistance (Poison), Robust;Silver 3;,,,,,,,,,,
Racketeer 4;Int;Lore (Law), Lore (Politics);Commanding Presence, Kingpin, Frightening, Wealthy;Silver 5;,,,,,,,,,,,,
Thief 1;I, Agi, Wp;Athletics, Climb, Cool, Dodge, Endurance, Intuition, Perception, Stealth (Urban);Alley Cat, Criminal, Flee!, Strike to Stun ;Brass 1;,,,,
Thief 2;Dex;Evaluate, Gossip, Lore (Local), Pick Lock, Secret Signs (Thief ), Sleight of Hand;Break and Enter, Etiquette (Criminals), Fast Hands, Shadow;Brass 3;,,,,,,,,
Thief 3;S;Bribery, Gamble, Intimidate, Ranged (Crossbow) ;Night Vision, Nimble Fingered, Step Aside, Trapper ;Brass 5;,,,,,,,,,,
Thief 4;Fel;Charm, Set Trap;Catfall, Scale Sheer Surface, Strong Legs, Wealthy;Silver 3;,,,,,,,,,,,,
Witch 1;Ws, T, Wp;Channelling, Cool, Endurance, Gossip, Intimidate, Language (Magick), Sleight of Hand, Stealth (Rural) ;Criminal, Instinctive Diction, Menacing, Petty Magic ;Brass 1;,,,,
Witch 2;I;Charm Animal, Dodge, Intuition, Melee (Polearm), Perception, Trade (Herbalist);Arcane Magic (Witchery), Attractive, Sixth Sense, Witch!;Brass 2;,,,,,,,,
Witch 3;Fel;Bribery, Charm, Haggle, Lore (Dark Magic) ;Animal Affinity, Fast Hands, Frightening, Magical Sense;Brass 3;,,,,,,,,,,
Witch 4;Int;Lore (Daemonology), Lore (Magic);Aethyric Attunement, Luck, Strong-minded, Very Resilient;Brass 5;,,,,,,,,,,,,
Cavalryman 1;Ws, S, Agi;Animal Care, Charm Animal, Endurance, Language (Battle), Melee (Basic), Outdoor Survival, Perception, Ride (Horse);Combat Aware, Crack the Whip, Lightning Reflexes, Roughrider;Silver 2;,,,,
Cavalryman 2;Bs;Charm, Consume Alcohol, Cool, Gossip, Melee (Cavalry), Ranged (Blackpowder);Etiquette (Soldiers), Gunner, Seasoned Traveller, Trick Riding;Silver 4;,,,,,,,,
Cavalryman3;I;Intimidate, Intuition, Leadership, Lore (Warfare) ;Combat Reflexes, Fast Shot, Hatred (Any), Warleader;Gold 1;,,,,,,,,,,
Cavalryman 4;Fel;Gamble, Lore (Heraldry);Accurate Shot, Inspiring, Reaction Strike, Robust ;Gold 2;,,,,,,,,,,,,
Guard 1;Ws, T, Agi;Consume Alcohol, Endurance, Entertain (Storytelling), Gamble, Gossip, Intuition, Melee (Basic), Perception;Diceman, Etiquette (Servants), Strike to Stun, Tenacious;Silver 1;,,,,
Guard 2;I;Athletics, Cool, Dodge, Intimidate, Melee (Polearm), Ranged (Bow);Relentless, Reversal, Shieldsman, Strike Mighty Blow;Silver 2;,,,,,,,,
Guard 3;S;Heal, Language (Battle), Lore (Etiquette), Melee (Two-handed);Fearless (Intruders), Jump Up, Stout-hearted, Unshakeable;Silver 3;,,,,,,,,,,
Guard 4;Int;Leadership, Lore (Warfare);Combat Master, Furious Assault, Iron Will, Robust ;Silver 5;,,,,,,,,,,,,
Knight 1;S, I, Agi;Athletics, Animal Care, Charm Animal, Heal, Lore (Heraldry), Melee (Cavalry), Ride (Horse), Trade (Farrier) ;Etiquette (any), Roughrider, Sturdy, Warrior Born;Silver 3;,,,,
Knight 2;Ws;Cool, Dodge, Endurance, Intimidate, Language (Battle), Melee (Any);Menacing, Seasoned Traveller, Shieldsman, Strike Mighty Blow;Silver 5;,,,,,,,,
Knight 3;Wp;Charm, Consume Alcohol, Leadership, Lore ( Warfare);Fearless (Any), Stout-hearted, Unshakeable, Warleader;Gold 2;,,,,,,,,,,
Knight 4;Fel;Lore (Any), Secret Signs (Knightly Order) ;Disarm, Inspiring, Iron Will, Strike to Injure ;Gold 4;,,,,,,,,,,,,
Pit Fighter 1;Ws, S, T;Athletics, Cool, Dodge, Endurance, Gamble, Intimidate, Melee (Any), Melee (Brawling) ;Dirty Fighter, In-fighter, Iron Jaw, Reversal ;Brass 4;,,,,
Pit Fighter 2;I;Haggle, Intuition, Melee (Basic), Melee (Flail or Two-handed), Perception, Ranged (Entangling);Ambidextrous, Combat Reflexes, Dual Wielder, Shieldsman;Silver 2;,,,,,,,,
Pit Fighter 3;Agi;Consume Alcohol, Gossip, Lore (Anatomy), Perform (Fight);Combat Master, Disarm, Menacing, Robust ;Silver 5;,,,,,,,,,,
Pit Fighter 4;Fel;Charm, Ranged (Any);Frightening, Furious Assault, Implacable, Reaction Strike;Gold 2;,,,,,,,,,,,,
Protagonist 1;Ws, T, Agi;Athletics, Dodge, Endurance, Entertain (Taunt), Gossip, Haggle, Intimidate, Melee (Any);In-fighter, Dirty Fighting, Menacing, Warrior Born ;Brass 2;,,,,
Protagonist 2;I;Bribery, Charm, Intuition, Melee (Basic), Perception, Ride (Horse);Combat Reflexes, Criminal, Reversal, Strike to Stun;Silver 1;,,,,,,,,
Protagonist 3;Bs;Climb, Cool, Navigation, Ranged (Thrown) ;Careful Strike, Disarm, Marksman, Relentless;Silver 4;,,,,,,,,,,
Protagonist 4;Fel;Entertain (Acting), Ranged (Crossbow) ;Accurate Shot, Ambidextrous, Furious Assault, Strike to Injure;Gold 1;,,,,,,,,,,,,
Slayer 1;Ws, S, Wp;Consume Alcohol, Cool, Dodge, Endurance, Gamble, Heal, Lore (Trolls), Melee (Basic);Dual Wielder, Fearless (Everything), Frenzy, Slayer ;Brass 2;,,,,
Slayer 2;T;Evaluate, Intimidate, Language (Battle), Lore (Giants), Melee (Two-handed), Outdoor Survival ;Hardy, Implacable, Menacing, Reversal ;Brass 2;,,,,,,,,
Slayer 3;Agi;Entertain (Storytelling), Lore (Dragons), Perception, Ranged (Thrown);Ambidextrous, Furious Assault, Relentless, Robust;Brass 2;,,,,,,,,,,
Slayer 4;I;Intuition, Lore (Chaos);Combat Master, Frightening, Strike Mighty Blow, Very Strong;Brass 2;,,,,,,,,,,,,
Soldier 1;Ws, T, Wp;Athletics, Climb, Cool, Dodge, Endurance, Language (Battle), Melee (Basic), Play (Drum or Fife);Diceman, Marksman, Strong Back, Warrior Born ;Silver 1;,,,,
Soldier 2;Bs;Consume Alcohol, Gamble, Gossip, Melee (Any), Ranged (Any), Outdoor Survival;Drilled, Etiquette (Soldiers), Rapid Reload, Shieldsman;Silver 3;,,,,,,,,
Soldier 3;I;Heal, Intuition, Leadership, Perception;Combat Aware, Enclosed Fighter, Unshakeable, Warleader;Silver 5;,,,,,,,,,,
Soldier 4;Fel;Lore (Warfare), Navigation;Inspiring, Public Speaking, Seasoned Traveller, Stout-hearted;Gold 1;,,,,,,,,,,,,
Warrior Priest 1;Ws, T, Wp;Cool, Dodge, Endurance, Heal, Leadership, Lore (Theology), Melee (Any), Pray;Bless (Any), Etiquette (Cultists), Read/Write, Strong-minded;Brass 2;,,,,
Warrior Priest 2;S;Charm, Entertain (Speeches), Intimidate, Language (battle), Melee (Any), Ranged (Any);Dual Wielder, Inspiring, Invoke (Any), Seasoned Traveller;Silver 2;,,,,,,,,
Warrior Priest 3;I;Animal Care, Intuition, Perception, Ride (Horse) ;Combat Aware, Holy Visions, Pure Soul, Stout- hearted;Silver 3;,,,,,,,,,,
Warrior Priest 4;Fel;Consume Alcohol, Lore (Warfare);Fearless (Any), Furious Assault, Holy Hatred, Warleader;Silver 4;,,,,,,,,,,,,
Beachcomber 1;Ws, I, Int;Climb, Dodge, Gossip, Haggle, Lore (Coasts and Tides), Melee (Basic), Outdoor Survival, Perception, Row, Stealth (Rural);Fisherman, Orientation, Strider (Coastal), Strong Swimmer;Brass 1;,,
Beachcomber 2;Agi;Consume Alcohol, Endurance, Lore (Any), Ranged (Sling), Set Trap, Swim;Coolheaded, Flee!, Rover, Stone Soup;Brass 3;,,,,,,,,
Beachcomber 3;Wp;Charm, Evaluate, Gamble, Sail;Old Salt, Savant (Coasts and Tides), Sea Legs, Tinker;Brass 5;,,,,,,,,,,
Beachcomber 4;T;Leadership, Tade (Boatbuilder);Dealmaker, River Guide, Seasoned Traveller, Tenacious;Silver 2;,,,,,,,,,,,,
Chantyman 1;Dex, Int, Fel;Charm, Consume Alcohol, Dodge, Entertain (Singing), Gossip, Melee (Brawling), Play (Fiddle, Squeezebox or Tin Whistle), Row, Sail, Swim;Etiquette (Crew), Perfect Pitch, Sea Legs, Strider (Coastal);Silver 1;,
Chantyman 2;Ag;Athletics, Climb, Endurance, Gamble, Melee (Basic), Perform (Any);Chanty, Jump Up, Seasoned Traveller, Strong Swimmer;Silver 3;,,,,,,,,
Chantyman 3;Wp;Cool, Language (Any), Leadership, Perception;Carouser, Fisherman, Old Salt, Public Speaker;Silver 5;,,,,,,,,,,
Chantyman 4;I;Lore (Oceans), Navigation;Tenacious, Magnum Opus, Orientation, Read/Write;Gold 1;,,,,,,,,,,,,
Sea Huffer 1;Ws, T, I;Consume Alcohol, Gossip, Intuition, Lore (Local), Lore (Oceans), Melee (Basic), Navigation, Perception, Row, Swim;Fisherman, Night Vision, Orientation, Waterman ;Brass 4;,,
Sea Huffer 2;Wp;Athletics, Charm, Climb, Cool, Entertain (Storytelling), Language (Any);Dealmaker, Etiquette (Guilder), Nose for Trouble, Old Salt;Silver 1;,,,,,,,,
Sea Huffer 3;Int;Haggle, Intimidate, Lore (Local), Lore (Wrecks);Acute Sense (Sight), Pilot, Sea Legs, Very Strong;Silver 3;,,,,,,,,,,
Sea Huffer 4;Fel;Leadership, Sail;Sixth Sense, Sharp, Strong Swimmer, Tenacious ;Silver 5;,,,,,,,,,,,,
Officer 1;Ws, Int, Fel;Athletics, Climb, Gossip, Leadership, Melee (Basic), Outdoor Survival, Perception, Row, Sail, Swim;Etiquette (Crew), Orientation, Read/Write, Sea Legs;Silver 1;,,
Officer 2;Bs;Cool, Endurance, Intimidate, Lore (Oceans), Navigation, Ranged (Blackpowder);Coolheaded, Old Salt, Master and Commander, Pilot;Silver 5;,,,,,,,,
Officer 3;T;Art (Cartography), Charm, Dodge, Intuition;Coolheaded, Inspiring, Seasoned Traveller, Warleader;Gold 2;,,,,,,,,,,
Officer 4;Wp;Language (Any), Lore (Any);Commanding Presence, Iron Will, Public Speaking, Stout-hearted;Gold 5;,,,,,,,,,,,,
Sailor 1;Agi, Dex, Fel;Climb, Consume Alcohol, Gamble, Gossip, Lore (Oceans), Melee (Brawling), Play (Pennywhistle), Row, Sail, Swim;Fisherman, Strider (Coastal), Strong Back, Strong Swimmer;Silver 1;,,
Sailor 2;Ws;Athletics, Dodge, Endurance, Entertain (Singing), Language (any), Melee (Basic);Catfall, Sea Legs, Seasoned Traveller, Strong Legs;Silver 3;,,,,,,,,
Sailor 3;I;Cool, Leadership, Perception, Trade (Carpenter) ;Old Salt, Strike Mighty Blow, Tenacious, Very Strong;Silver 5;,,,,,,,,,,
Sailor 4;Int;Charm, Navigation;Orientation, Pilot, Public Speaking, Savvy ;Gold 2;,,,,,,,,,,,,
Sailor-Priest of Manaan 1;T, Agi, Wp;Athletics, Consume Alcohol, Cool, Endurance, Language (Classical), Lore (Manann), Holy Visions, Sea Legs, Very Strong;Bless (Manann), Holy Visions, Sea Legs, Very Strong;Brass 2;,,,
Sailor-Priest of Manaan 2;Fel;Intuition, Entertain (Singing), Gamble, Intimidate, Melee (Polearm), Navigation;Invoke (Manann), Public Speaking, Read/Write, Strong Back;Silver 1;,,,,,,,,
Sailor-Priest of Manaan 3;I;Consume Alcohol, Leadership, Lore (Oceans), Ranged (Blackpowder);Hatred (Followers of Stromfels), Old Salt, Pilot, Strong Swimmer;Gold 1;,,,,,,,,,,
Sailor-Priest of Manaan 4;Int;Language (Any), Lore (Politics);Chanty, Inspiring, Pure Soul, Seasoned Traveller;Gold 2;,,,,,,,,,,,,
Ship Gunner 1;Bs, Agi, Int;Athletics, Climb, Dodge, Endurance, Language (Battle), Melee (Brawling), Perception, Ranged (Blackpowder), Row, Swim;Old Salt, Rapid Reload, Sea Legs, Strong Back;Brass 3;,,
Ship Gunner 2;I;Consume Alcohol, Cool, Gamble, Gossip, Melee (Basic), Sail;Etiquette (Crew), Gunner, Marksman, Sniper;Silver 3;,,,,,,,,
Ship Gunner 3;T;Leadership, Lore (Artillery), Navigation, Trade (Gunsmith);Combat Aware, Crew Commander, Orientation, Read/Write;Silver 5;,,,,,,,,,,
Ship Gunner 4;Wp;Charm, Lore (Oceans);Accurate Shot, Inspiring, Seasoned Traveller, Stout-hearted;Gold 1;,,,,,,,,,,,,
Sea Wrecker 1;Ws, S, I;Climb, Consume Alcohol, Dodge, Endurance, Melee (Brawling), Outdoor Survival, Ranged (Sling), Row, Sail, Swim;Break and Enter, Criminal, Fisherman, Strong Back;Brass 2;,,
Sea Wrecker 2;Wp;Bribery, Cool, Intuition, Navigation, Perception, Set Traps;Flee!, Rover, Strong Swimmer, Trapper ;Brass 3;,,,,,,,,
Sea Wrecker 3;Bs;Gossip, Intimidate, Ranged (Crossbow), Stealth (Rural) ;Dirty Fighting, Etiquette (Criminals), Menacing, Waterman;Brass 5;,,,,,,,,,,
Sea Wrecker 4;Fel;Leadership, Lore (Oceans);Furious Assault, In-fighter, Master and Commander, Warrior Born ;Silver 2;,,,,,,,,,,,,
Priest of Stromfels 1;Ws, S, I;Climb, Consume Alcohol, Endurance, Intimidate, Intuition, Melee (Basic), Pray, Row, Sail, Swim;Bless (Stromfels), Criminal, Holy Visions, Strong Swimmer;Silver 2;,,
Priest of Stromfels 2;Fel ;Cool, Entertain (Chanties), Lore (Stromfels), Navigation, Perception, Track;Fearless (Any), Flee!, Invoke (Stromfels), Menacing;Silver 3;,,,,,,,,
Priest of Stromfels 3;Agi;Gossip, Leadership, Lore (Oceans), Set Traps;Hatred (Manannites or Followers of Chaos), Impassioned Zeal, Master Orator, Rover;Silver 4;,,,,,,,,,,
Priest of Stromfels 4;Bs;Melee (Any), Ranged (Blackpowder);Furious Assault, In-fighter, Pilot, Warrior Born ;Silver 5;,,,,,,,,,,,,
Ghost Strider 1;Bs, Agi, Int;Climb, Lore (Beasts), Navigation, Outdoor Survival, Perception, Ranged (Bow), Stealth (Any), Trade (Bowyer);Accurate Shot, Fleet Footed, Shadow, Strider (Woodlands);Brass 3;,,,,
Ghost Strider 2;Dex;Athletics, Charm Animal, Melee (Basic), Secret Signs (Ranger), Set Trap, Swim, Track;Animal Affinity, Fast Shot, Orientation, Scale Sheer Surface;Brass 5;,,,,,,,
Ghost Strider 3;Ws;Cool, Endurance, Dodge, Lip Reading;Catfall, Combat Aware, Strike Mighty Blow, Sharpshooter;Silver 1;,,,,,,,,,,
Ghost Strider 4;S;Intimidate, Language (Any);Deadeye Shot, Hatred (Any), Sniper, Strike to Injure;Silver 3;,,,,,,,,,,,,
Field Warden 1;Bs, Agi, Wp;Gossip, Intuition, Lore (Moot), Navigation, Perception, Ranged (Sling), Trade (Any), Stealth (Rural);Careful Strike, Distract, Fast Shot, Stout-hearted;Brass 4;,,,,
Field Warden 2;Int;Charm, Consume Alcohol, Dodge, Melee (Basic), Outdoor Survival, Secret Signs (Scout);Accurate Shot, Drilled, Nose for Trouble, Orientation;Silver 1;,,,,,,,,
Field Warden 3;Ws;Cool, Endurance, Lore (Necromancy), Set Trap;Fleet-footed, Hardy, Night Vision, Rover;Silver 3;,,,,,,,,,,
Field Warden 4;T;Leadership, Lore (Warfare);Fearless (Any), Hatred (Undead), Inspiring, Robust, Savant (Moot Terrain) ;Silver 5;,,,,,,,,,,,
Karak Ranger 1;Ws, S, T;Climb, Dodge, Endurance, Trade (Cartographer), Melee (Basic), Outdoor Survival, Perception, Row;Implacable, Orientation, Strider (Any), Strong Back;Brass 3;,,,,
Karak Ranger 2;Bs;Charm Animal, Intuition, Ranged (Blackpowder), Secret Signs (Scout OR Ranger), Track;Strike Mighty Blow, Scale Sheer Surface, Nose for Trouble, Rover;Silver 1;,,,,,,,,,
Karak Ranger 3;Agi;Lore (Engineering), Stealth (Underground);Accurate Shot, Enclosed Fighter, River Guide, Gunner, Strong Legs;Silver 2;,,,,,,,,,,,
Karak Ranger 4;Int;Cool, Language (Any);Tinker, Savant (Routes and Dwarf Holds), Robust, Tenacious;Silver 4;,,,,,,,,,,,,
Archer 1;Bs, I, Agi;Athletics, Climb, Consume Alcohol, Dodge, Endurance, Language (Battle), Perception, Play (Horn), Ranged (Bow), Stealth (Rural);Accurate Shot, Fast Shot, Strong Back, Warrior Born;Silver 1;,,
Archer 2;S;Gamble, Gossip, Melee (Basic), Outdoor Survival,Track,Trade (Fletcher);Drilled, Etiquette (Soldiers), Marksman, Sure Shot;Silver 3;,,,,,,,,
Archer 3;T;Cool, Leadership, Navigation, Ride (Horse) ;Combat Aware, Sharpshooter, Sniper, Unshakeable;Silver 5;,,,,,,,,,,
Archer 4;Int;Lore (Warfare), Secret Signs (Scout) ;Inspiring, Seasoned Traveller, Stout-hearted, Warleader;Gold 1;,,,,,,,,,,,,
Greatsword 1;Ws, S, Wp;Athletics, Consume Alcohol, Cool, Dodge, Endurance, Gossip, Language (Battle), Melee (Basic), Melee (Two-handed), Play (Drum);Coolheaded, Drilled, Strong Back, Warrior Born;Silver 1;,,
Greatsword 2;I;Gamble, Intimidate, Lore (Heraldry), Melee (Any), Outdoor Survival, Perception;Combat Reflexes, Etiquette (Soldiers), Fearless (Any), Strike Mighty Blow;Silver 3;,,,,,,,,
Greatsword 3;T;Intuition, Leadership, Navigation, Ride (Horse) ;Combat Aware, Enclosed Fighter, Unshakeable, Warleader;Silver 5;,,,,,,,,,,
Greatsword 4;Int;Charm, Lore (Warfare);Commanding Presence, Inspiring, Public Speaking, Stout-hearted;Gold 1;,,,,,,,,,,,,
Halberdier 1;Ws, T, Agi;Athletics, Consume Alcohol, Cool, Dodge, Endurance, Language (Battle), Melee (Basic), Melee (Polearm), Perform (Parade), Play (Drum);Diceman, Drilled, Strong Back, Warrior Born ;Silver 1;,,
